DATE,DJIA,SP500,NASDAQ100
2021-01-04,30223.89,3700.65,12694.66
2021-01-05,30391.6,3726.86,12802.38
2021-01-06,30829.4,3748.14,12623.35
2021-01-07,31041.13,3803.79,12939.57
2021-01-08,31097.97,3824.68,13105.2
2021-01-11,31008.69,3799.61,12902.49
2021-01-12,31068.69,3801.19,12892.09
2021-01-13,31060.47,3809.84,12973.63
2021-01-14,30991.52,3795.54,12898.69
2021-01-15,30814.26,3768.25,12803.93
2021-01-19,30930.52,3798.91,12996.54
2021-01-20,31188.38,3851.85,13296.45
2021-01-21,31176.01,3853.07,13404.99
2021-01-22,30996.98,3841.47,13366.4
2021-01-25,30960.0,3855.36,13483.29
2021-01-26,30937.04,3849.62,13490.19
2021-01-27,30303.17,3750.77,13112.65
2021-01-28,30603.36,3787.38,13201.53
2021-01-29,29982.62,3714.24,12925.38
2021-02-01,30211.91,3773.86,13248.9
2021-02-02,30687.48,3826.31,13456.12
2021-02-03,30723.6,3830.17,13402.37
2021-02-04,31055.86,3871.74,13560.89
2021-02-05,31148.24,3886.83,13603.96
2021-02-08,31385.76,3915.59,13695.02
2021-02-09,31375.83,3911.23,13687.08
2021-02-10,31437.8,3909.88,13655.27
2021-02-11,31430.7,3916.38,13734.35
2021-02-12,31458.4,3934.83,13807.7
2021-02-16,31522.75,3932.59,13773.77
2021-02-17,31613.02,3931.33,13699.71
2021-02-18,31493.34,3913.97,13637.51
2021-02-19,31494.32,3906.71,13580.78
2021-02-22,31521.69,3876.5,13223.74
2021-02-23,31537.35,3881.37,13194.71
2021-02-24,31961.86,3925.43,13302.19
2021-02-25,31402.01,3829.34,12828.31
2021-02-26,30932.37,3811.15,12909.44
2021-03-01,31535.51,3901.82,13282.95
2021-03-02,31391.52,3870.29,13059.95
2021-03-03,31270.09,3819.72,12683.33
2021-03-04,30924.14,3768.47,12464.0
2021-03-05,31496.3,3841.94,12668.51
2021-03-08,31802.44,3821.35,12299.08
2021-03-09,31832.74,3875.44,12794.49
2021-03-10,32297.02,3898.81,12752.07
2021-03-11,32485.59,3939.34,13052.9
2021-03-12,32778.64,3943.34,12937.29
2021-03-15,32953.46,3968.94,13082.54
2021-03-16,32825.95,3962.71,13152.28
2021-03-17,33015.37,3974.12,13202.38
2021-03-18,32862.3,3915.46,12789.14
2021-03-19,32627.97,3913.1,12866.99
2021-03-22,32731.2,3940.59,13086.51
2021-03-23,32423.15,3910.52,13017.79
2021-03-24,32420.06,3889.14,12798.88
2021-03-25,32619.48,3909.52,12780.51
2021-03-26,33072.88,3974.54,12979.12
2021-03-29,33171.37,3971.09,12965.74
2021-03-30,33066.96,3958.55,12896.53
2021-03-31,32981.55,3972.89,13091.44
2021-04-01,33153.21,4019.87,13329.51
2021-04-05,33527.19,4077.91,13598.16
2021-04-06,33430.24,4073.94,13578.46
2021-04-07,33446.26,4079.95,13616.7
2021-04-08,33503.57,4097.17,13758.5
2021-04-09,33800.6,4128.8,13845.05
2021-04-12,33745.4,4127.99,13819.35
2021-04-13,33677.27,4141.59,13986.49
2021-04-14,33730.89,4124.66,13803.91
2021-04-15,34035.99,4170.42,14026.19
2021-04-16,34200.67,4185.47,14041.91
2021-04-19,34077.63,4163.26,13907.67
2021-04-20,33821.3,4134.94,13809.3
2021-04-21,34137.31,4173.42,13935.15
2021-04-22,33815.9,4134.98,13762.36
2021-04-23,34043.49,4180.17,13941.44
2021-04-26,33981.57,4187.62,14026.16
2021-04-27,33984.93,4186.72,13960.28
2021-04-28,33820.38,4183.18,13901.62
2021-04-29,34060.36,4211.47,13970.2
2021-04-30,33874.85,4181.17,13860.76
2021-05-03,34113.23,4192.66,13799.72
2021-05-04,34133.03,4164.66,13544.67
2021-05-05,34230.34,4167.59,13503.37
2021-05-06,34548.53,4201.62,13613.73
2021-05-07,34777.76,4232.6,13719.63
2021-05-10,34742.82,4188.43,13359.08
2021-05-11,34269.16,4152.1,13351.27
2021-05-12,33587.66,4063.04,13001.63
2021-05-13,34021.45,4112.5,13109.15
2021-05-14,34382.13,4173.85,13312.91
2021-05-17,34327.79,4163.29,13312.91
2021-05-18,34060.66,4127.83,13217.68
2021-05-19,33896.04,4115.68,13237.91
2021-05-20,34084.15,4159.12,13494.09
2021-05-21,34207.84,4155.86,13411.74
2021-05-24,34393.98,4197.05,13641.75
2021-05-25,34312.46,4188.13,13657.73
2021-05-26,34323.05,4195.99,13702.74
2021-05-27,34464.64,4200.88,13657.85
2021-05-28,34529.45,4204.11,13686.51
2021-06-01,34575.31,4202.04,13654.59
2021-06-02,34600.38,4208.12,13675.79
2021-06-03,34577.04,4192.85,13529.68
2021-06-04,34756.39,4229.89,13770.77
2021-06-07,34630.24,4226.52,13802.89
2021-06-08,34599.82,4227.26,13810.86
2021-06-09,34447.14,4219.55,13814.94
2021-06-10,34466.24,4239.18,13960.35
2021-06-11,34479.6,4247.44,13998.3
2021-06-14,34393.75,4255.15,14128.2
2021-06-15,34299.33,4246.59,14030.41
2021-06-16,34033.67,4223.7,13983.01
2021-06-17,33823.45,4221.86,14163.81
2021-06-18,33290.08,4166.45,14049.58
2021-06-21,33876.97,4224.79,14137.23
2021-06-22,33945.58,4246.44,14270.42
2021-06-23,33874.24,4241.84,14274.24
2021-06-24,34196.82,4266.49,14365.96
2021-06-25,34433.84,4280.7,14345.18
2021-06-28,34283.27,4290.61,14524.98
2021-06-29,34292.29,4291.8,14572.75
2021-06-30,34502.51,4297.5,14554.8
2021-07-01,34633.53,4319.94,14560.05
2021-07-02,34786.35,4352.34,14727.63
2021-07-06,34577.37,4343.54,14786.36
2021-07-07,34681.79,4358.13,14810.54
2021-07-08,34421.93,4320.82,14722.14
2021-07-09,34870.16,4369.55,14826.09
2021-07-12,34996.18,4384.63,14877.89
2021-07-13,34888.79,4369.21,14874.54
2021-07-14,34933.23,4374.3,14900.44
2021-07-15,34987.02,4360.03,14794.69
2021-07-16,34687.85,4327.16,14681.38
2021-07-19,33962.04,4258.49,14549.09
2021-07-20,34511.99,4323.06,14728.21
2021-07-21,34798.0,4358.69,14842.63
2021-07-22,34823.35,4367.48,14940.17
2021-07-23,35061.55,4411.79,15111.79
2021-07-26,35144.31,4422.3,15125.95
2021-07-27,35058.52,4401.46,14956.97
2021-07-28,34930.93,4400.64,15018.1
2021-07-29,35084.53,4419.15,15048.36
2021-07-30,34935.47,4395.26,14959.9
2021-08-02,34838.16,4387.16,14963.62
2021-08-03,35116.4,4423.15,15061.42
2021-08-04,34792.67,4402.66,15083.39
2021-08-05,35064.25,4429.1,15181.64
2021-08-06,35208.51,4436.52,15109.36
2021-08-09,35101.85,4432.35,15133.11
2021-08-10,35264.67,4436.75,15053.58
2021-08-11,35484.97,4447.7,15027.76
2021-08-12,35499.85,4460.83,15088.98
2021-08-13,35515.38,4468.0,15136.68
2021-08-16,35625.4,4479.71,15140.77
2021-08-17,35343.28,4448.08,15002.83
2021-08-18,34960.69,4400.27,14857.92
2021-08-19,34894.12,4405.8,14933.94
2021-08-20,35120.08,4441.67,15092.57
2021-08-23,35335.71,4479.53,15312.82
2021-08-24,35366.26,4486.23,15357.68
2021-08-25,35405.5,4496.19,15368.92
2021-08-26,35213.12,4470.0,15278.52
2021-08-27,35455.8,4509.37,15432.95
2021-08-30,35399.84,4528.79,15605.09
2021-08-31,35360.73,4522.68,15582.51
2021-09-01,35312.53,4524.09,15611.57
2021-09-02,35443.82,4536.95,15604.25
2021-09-03,35369.09,4535.43,15652.86
